video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=YpWharWcdso&pp=ygUPbWV4aWNhbiBjdWx0dXJl0gcJCYcKAYcqIYzv,/@AlmostRetiredinMexico,Almost Retired in Mexico,Mexican Culture Explained,9.9K,1 year,Are you thinking about moving to Mexico? It's not just about learning Spanish; understanding the cultural nuances is equally ...,2026-01-22 00:15:35.837156
/watch?v=U-utHvuZlV4&pp=ygUPbWV4aWNhbiBjdWx0dXJl0gcJCYcKAYcqIYzv,/@EpicExplorationsTVEN,EpicExplorationsTV EN,WONDERS OF MEXICO | Most Amazing Places and Fun Facts in Mexico | 4K Travel Guide,58K,1 year,Join us as we explore the most enchanting places in Mexico! From the vibrant heart of Mexico City to the mystical pyramids of ...,2026-01-22 00:15:35.840228
/watch?v=UrMjjazPdUA&t=4749s&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@HistoryFound_YT,History Found,The ENTIRE History of MEXICAN EMPIRE | How Mexico Built Its Empire? | History Documentary 4K,180K,5 months,How Did Ancient Farmers Start a Superpower? This full-length history documentary in 4K covers the entire history of Mexico from ...,2026-01-22 00:15:35.843407
/watch?v=bHoThqoDIVw&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@timelesstravelclub6240,Timeless Travel Club,Mexican Culture That Will Shock You,34K,6 years,Note: These topics are known regionally and may not apply to all of Mexico. There is so much culture in Mexico to enjoy and some ...,2026-01-22 00:15:35.845859
/watch?v=ZQdYdAKT5fQ&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@this_is_history,This Is History,The Entire History of Mexico,845K,1 year,mexico #history #documentary WATCH THIS AND ALL OUR VIDEOS OVER ON SPOTIFY: ...,2026-01-22 00:15:35.847872
/watch?v=Q4kF0lRzGnI&t=949s&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@Suibhne,Suibhne,The Animated History of Mexico,5M,5 years,SUPPORT SUIBHNE ▶️ Become YouTube Member: https://www.youtube.com/channel/UCQD-0MjUbDBwm2UTVYr0Dag/join ...,2026-01-22 00:15:35.850790
/watch?v=o3MvHztzucQ&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@internationalliving,International Living,Traditions and Culture in Mexico,18K,5 years,"Let's talk about traditions and culture in Mexico, from special celebrations like Dia de Muertos to everyday life. For more info on ...",2026-01-22 00:15:35.854839
/watch?v=k6axPT0dqDE&pp=ygUPbWV4aWNhbiBjdWx0dXJl0gcJCYcKAYcqIYzv,/@CasaSunsetVallartaLovers,Casa Sunset Vallarta Lovers ,Mexican Culture: Customs & Traditions | Intangible Cultural Heritage of Humanity,23K,4 years,Mexico is a country full of traditions and celebrations that have been passed from father to son for generations. And today we are ...,2026-01-22 00:15:35.856510
/watch?v=w-aO5CCVn88&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@TopTravel_YT,Top Travel,Wonders of Mexico | The Most Amazing Places in Mexico | Travel Video 4K,913K,1 year,#Mexico #TravelMexico #ExploreMexico #MexicanCulture #TravelVlog #Guanajuato #ChichenItza #MexicoCityAdventures ...,2026-01-22 00:15:35.859479
/watch?v=3DNBd1XO9hs&pp=ygUPbWV4aWNhbiBjdWx0dXJl,/@DrewBinskyKids,Geography with Drew Binsky,WHAT IS MEXICO?,26K,3 years,"From the ancient Mayans and Aztecs, to Spanish colonialism, to modern-day Mexican culture and identity, this country's history is ...",2026-01-22 00:15:35.862784
