video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=pgIyPxLm7f4&pp=ygUMbWV4aWNhbiBmb29k,/@MarkWiens,Mark Wiens,Best STREET FOOD in Mexico!! 33 Meals - Ultimate Mexican Food Tour [Full Documentary],1M,6 months,Mexican Street Food Tour in Guadalajara: https://youtu.be/iei4xQ633Zk SUBSCRIBE for more: ...,2026-01-22 00:06:58.389458
/shorts/KFdD7j_mkDQ,/@shophocho7798,ShoPhoCho,Hood Mexican Food 🌮,5.8M,2 years,Trying Mexican food from the herd I can't find a comment but one of you asked me to go to this place in Compton to get here I had ...,2026-01-22 00:06:58.393598
/shorts/XY8Y7HhSc-k,/@jydelgado,JyDelgado,MEXICAN FOOD COMBOS THAT GO HARD😭🇲🇽‼️,849K,4 months,All right y'all Today we're going to be looking at the best Mexican food combos of all time man So let's get straight into it At number ...,2026-01-22 00:06:58.397612
/shorts/EiQVtx3vk3Q,/@jydelgado,JyDelgado,THE TOP 10 BEST MEXICAN FOODS TO EVER EXIST😩🇲🇽‼️,1.7M,2 years,All right y'all today we're gonna be naming some of the best Mexican foods that ever exist and if I forget something let me know ...,2026-01-22 00:06:58.398973
/watch?v=BBT_FLYF65k&pp=ygUMbWV4aWNhbiBmb29k,/@BestEverFoodReviewShow,Best Ever Food Review Show,Most UNIQUE Food in MEXICO!! SUPER RARE Food Tour!! (FULL DOCUMENTARY),17M,4 years,SECOND CHANNEL!! MORE BEFRS » http://bit.ly/2pQYjvM​ BEFRS MERCH » https://bit.ly/ShopBEFRS SUPPORT OUR ...,2026-01-22 00:06:58.403302
/watch?v=8iO0mOS2xQs&pp=ygUMbWV4aWNhbiBmb29k,/@PeopleVsFood,People Vs Food,Americans Try Mexican Street Food for the First Time! | #3 |  People vs Food,1M,1 year,Thanks to Liquid I.V. for sponsoring! New customers can use our discount code PEOPLEVSFOOD or link https://bit.ly/44CJkom for ...,2026-01-22 00:06:58.408837
/shorts/WJKn40MdAVY,/@dlameats,Derek,First time trying Mexican food at Nene’s Taqueria in New York #shorts,1M,5 months,Let's try one of the best Mexican spots in Atoria New York Nenn Takaria Look at this beer pizza Each slice is packed with loads of ...,2026-01-22 00:06:58.411174
/watch?v=990CmzkhEq4&pp=ygUMbWV4aWNhbiBmb29k,/@JoshuaWeissman,Joshua Weissman,I Tried The Best Taco In The World,6.1M,1 year,"It took a lot of tacos to get here. Get My Cookbook: https://bit.ly/TextureOverTaste Additional Cookbook Options (other stores, ...",2026-01-22 00:06:58.415199
/shorts/CVocu-lTiB0,/@LATRYGUY,LATRYGUY,Trying a 50 Year Old Mexican Restaurant in LA (La Barca) #foodie #foodvlog #mexicanfood #losangeles,517K,7 months,Today I'm here at one of the OG Mexican restaurants in LA i'm here at Lab Barka let's see if it's Fuego or not you come to a ...,2026-01-22 00:06:58.417565
/shorts/_UjILafELoo,/@Jennymartinezzz,Jenny Martinez,Deep Fried Takis Elotes 🌽,10M,1 year,Jenny-Martinez/9781668009970 #viralvideo #shortsfeed #diy #viral #youtube #latina #mexicana #mexicanfood #video #recipe ...,2026-01-22 00:06:58.420282
